category,2001,2004_05,2007_08,2011_12,2014_15,2017_18,2022,section_heading,section_subheading
Certain infectious and parasitic diseases,3.6,0,8.1,1.1,5.9,12.6,13.9,NA,NA
Skin cancer,0,0,0.7,0,5.2,17.7,65.1,Neoplasms,Cancer
Other and site unknown cancer,0,0,14,5.5,2.4,36.8,122.4,Neoplasms,Cancer
Total cancer,0,0,7.5,8.3,3.5,56.3,172,Neoplasms,Cancer
Benign neoplasms and neoplasms of uncertain nature,0,0,5.6,4.7,0,11,25.2,Neoplasms,NA
Total neoplasms,1.7,0,19,20,3.5,64.6,198.4,Neoplasms,NA
Anaemias,11.5,0,3.7,0,4.5,1.8,22.7,Diseases of the blood and blood forming organs,NA
Other diseases of the blood and blood forming organs,0,0,0,0,0,5.2,11.5,Diseases of the blood and blood forming organs,NA
Total diseases of the blood and blood forming organs,19.6,9.4,9.4,9.1,7.1,8.4,28.6,Diseases of the blood and blood forming organs,NA
Disorders of thyroid gland,4.4,2.5,14,34.6,38.4,37.4,54.1,"Endocrine, nutritional and metabolic diseases",NA
Type 1,0,12.4,1.4,0,14.7,13,16.9,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Type 2,0,0,27.4,52.1,88.2,154.2,346,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
Total diabetes mellitus,0,8.8,15.3,53.2,96.4,170.3,369.2,"Endocrine, nutritional and metabolic diseases",Diabetes mellitus
High sugar levels in blood / urine,0,0,0,0,11.2,4.5,16.8,"Endocrine, nutritional and metabolic diseases",NA
High cholesterol,0,0,23.3,69.5,149.6,300.7,494.8,"Endocrine, nutritional and metabolic diseases",NA
"Other endocrine, nutritional and metabolic diseases",10.6,24.3,4.7,16.2,5.8,18.4,9.1,"Endocrine, nutritional and metabolic diseases",NA
"Total endocrine, nutritional and metabolic diseases",12,33.2,71.1,161.7,267.2,447.4,775.2,"Endocrine, nutritional and metabolic diseases",NA
Harmful alcohol and other drug use,0,7.6,14.1,16.2,42.7,23.2,17,Mental and behavioural conditions,NA
Depression / feeling depressed,53.8,180.5,251,185.1,242.3,218.9,209.2,Mental and behavioural conditions,Mood  disorders
Other mood  disorders,0,4.6,25.6,19.9,22.9,29.7,7.5,Mental and behavioural conditions,Mood  disorders
Total mood  disorders,58.7,180,251,195.6,246.3,226.7,211.2,Mental and behavioural conditions,Mood  disorders
"Anxiety disorders / feeling anxious, nervous or tense",214.5,281.1,318.6,228.1,265.4,211.9,205,Anxiety related disorders,NA
Panic disorders / panic attacks,21.8,42,65,48.1,66.9,53.8,25,Anxiety related disorders,NA
Phobic anxiety disorders,25.3,33.6,72.2,27.6,43.4,27.2,20.9,Anxiety related disorders,NA
Obsessive-compulsive disorder,36.3,29.7,49.3,12.4,46.5,33.9,12,Anxiety related disorders,NA
Post-traumatic stress disorder,12.5,32,25.7,21.8,54.3,71.2,43.6,Anxiety related disorders,NA
Total anxiety related disorders,225.5,298.7,342.2,255.7,314.3,245.2,239.6,Anxiety related disorders,NA
Problems of psychological development,229.2,168.6,132,64.4,79.09999999999998,70.8,48.1,Anxiety related disorders,NA
"Behavioural, cognitive & emotional problems with usual onset in childhood / adolescence",187,184.3,121.1,51.6,59.9,27.6,23.6,Anxiety related disorders,NA
Other mental and behavioural conditions,27.4,19.3,66.1,39.1,33.1,39.9,56.7,Anxiety related disorders,NA
Total mental and behavioural conditions,419.1,473.4,503.4,406.1,443.3,359.7,406.7,Anxiety related disorders,NA
Epilepsy,0,0,5.9,0,3.9,0,1.2,Diseases of the nervous system,NA
Migraine,17.7,59.6,109.6,105.2,76.3,66.4,79,Diseases of the nervous system,NA
Other diseases of the nervous system,9.6,3.7,44.5,20.6,50.3,37.5,90.3,Diseases of the nervous system,NA
Total diseases of the nervous system,35.2,61.4,151.8,130.2,119.5,95.9,163.2,Diseases of the nervous system,NA
Cataract,0,0,6.7,0,13.5,53.4,179.4,Diseases of the eye and adnexa,NA
Glaucoma,0,0,0,8.6,4.9,27.9,60.5,Diseases of the eye and adnexa,NA
Astigmatism,48.6,89.1,148.3,144.3,113.4,88.6,89.2,Diseases of the eye and adnexa,NA
Macular degeneration,0,0,0,7.1,5.1,16.4,69.7,Diseases of the eye and adnexa,NA
Presbyopia,12.4,0,0,13.5,76.7,65.3,160.4,Diseases of the eye and adnexa,NA
Short sighted / myopia,134.5,317.4,400.4,386.1,534.4,526.2,733.3,Diseases of the eye and adnexa,NA
Long sighted / hyperopia,117.9,97.2,120.1,208.4,703.4,881.9,1291,Diseases of the eye and adnexa,NA
Blindness,0,2.4,9.9,10.3,5.4,8.3,41.2,Diseases of the eye and adnexa,NA
Colour blind,50.5,76.7,46.1,73.09999999999998,78.59999999999998,70,114.9,Diseases of the eye and adnexa,NA
Other diseases of the eye and adnexa,63,36.3,66.6,59.8,48.3,57.2,78.59999999999998,Diseases of the eye and adnexa,NA
Total diseases of the eye and adnexa,335.3,478.3,623.4,713.5,1203.6,1295.2,1828,Diseases of the eye and adnexa,NA
Deafness,37.7,29.7,78.2,92,179.8,282.9,797.9,Diseases of the ear and mastoid,NA
Otitis media,24.9,8.5,7.2,10.7,13.4,0,9.8,Diseases of the ear and mastoid,NA
Other diseases of the ear and mastoid,18.3,64.3,140.3,125.8,175.1,247.7,349.8,Diseases of the ear and mastoid,NA
Total diseases of the ear and mastoid,81.2,97,195.4,217.4,324.6,463.7,963.4,Diseases of the ear and mastoid,NA
Angina,0,0,0,8.1,6.4,24.2,114.9,Ischaemic heart diseases,NA
Heart attack,0,0,0,5.8,26.8,71.8,198.7,Ischaemic heart diseases,NA
Other ischaemic heart diseases,0,0,0,0,0,2.8,2.5,Ischaemic heart diseases,NA
Total ischaemic heart diseases,0,0,7.2,4.9,35.2,83.6,265.3,Ischaemic heart diseases,NA
Stroke,0,0,5.6,0,3.3,17.8,93.1,Stroke and other cerebrovascular diseases,NA
Other cerebrovascular diseases,0,0,0,0,2.7,9.2,91.3,Stroke and other cerebrovascular diseases,NA
Total stroke and other cerebrovascular diseases,0,0,5.6,0,4.2,22.4,166.5,Stroke and other cerebrovascular diseases,NA
Oedema,0,0,12.9,0,11.2,40.2,73.8,Stroke and other cerebrovascular diseases,NA
Heart failure,0,0,0,0,1.9,29.5,59.6,Stroke and other cerebrovascular diseases,NA
"Diseases of arteries, arterioles and capillaries",0,1.8,0,0,4.1,21.5,56.7,Stroke and other cerebrovascular diseases,NA
"Total heart, stroke and vascular diseases",7,7.2,19,11.3,59,162.8,488.3,Stroke and other cerebrovascular diseases,NA
Hypertension,0,1.2,26.6,93.5,222.1,367.8,769.7,Stroke and other cerebrovascular diseases,NA
Tachycardia,6.8,5.2,38.3,8.199999999999998,42.1,48.5,154.4,Stroke and other cerebrovascular diseases,NA
Haemorrhoids,0,5.2,5.3,16.7,11.7,13.4,35.3,Stroke and other cerebrovascular diseases,NA
Varicose veins,0,0,5.9,5,26.3,44.5,47.4,Stroke and other cerebrovascular diseases,NA
Low blood pressure,0,0,5.9,0,5.5,7.2,22.5,Stroke and other cerebrovascular diseases,NA
Cardiac murmurs and cardiac sounds,10.8,5.1,10.8,8.8,19.7,24,51.1,Stroke and other cerebrovascular diseases,NA
Other diseases of the circulatory system,0,0,1.9,1.7,5.8,12.7,31.1,Stroke and other cerebrovascular diseases,NA
Total diseases of the circulatory system,15.7,14.8,83.1,149.4,308.5,489.6,1085,Stroke and other cerebrovascular diseases,NA
Chronic obstructive pulmonary disease,16.7,9.5,13.5,23.6,27.4,71.7,141.4,Diseases of the respiratory system,NA
Asthma,244.1,133.9,168.2,172.1,156.5,124.3,200.5,Diseases of the respiratory system,NA
Hay fever and allergic rhinitis,338.2,440.4,439.1,466.5,404.9,391.9,435.6,Diseases of the respiratory system,NA
Chronic sinusitis,43.7,104.1,97.8,138.6,129.4,112.7,183.3,Diseases of the respiratory system,NA
Other diseases of the respiratory system,10.4,17.2,9.1,3.4,9.4,5.8,13.8,Diseases of the respiratory system,NA
Symptoms and signs involving the respiratory system,0,0,0,0,0,0,0,Diseases of the respiratory system,NA
Total diseases of the respiratory system,519,571.9,586.6,614.4,516,533.8,693.6,Diseases of the respiratory system,NA
Stomach / duodenal / gastrointestinal ulcer,0,5.3,10.5,23.7,44.8,43,53.5,Diseases of the digestive system,NA
Hernia,4.9,9.3,30,27.9,52.4,71,141.7,Diseases of the digestive system,NA
Gallstones,0,0,0,0,5,13.9,25.9,Diseases of the digestive system,NA
Other diseases of the digestive system,5.4,33.4,34.8,45.9,80.3,55,92.1,Diseases of the digestive system,NA
Symptoms and signs involving the digestive system,0,0,0,4.7,9.4,0,6.7,Diseases of the digestive system,NA
Total diseases of the digestive system,15.7,44.2,78.2,102,156.9,170.3,281.8,Diseases of the digestive system,NA
Dermatitis and eczema,76.09999999999998,32.7,21.1,18.5,5.2,8.9,8.199999999999998,Diseases of the skin and subcutaneous tissue,NA
Psoriasis,17.2,18.7,16.1,51.7,42.1,58.4,57.2,Diseases of the skin and subcutaneous tissue,NA
Other diseases of the skin and subcutaneous tissue,3.6,10.4,29.2,10.4,12.2,16.8,19.2,Diseases of the skin and subcutaneous tissue,NA
Symptoms and signs involving the skin and subcutaneous tissue,0,0,0,0,0,0,0,Diseases of the skin and subcutaneous tissue,NA
Total diseases of the skin and subcutaneous tissue,98.6,65.2,60.1,82,61.5,81.2,83.5,Diseases of the skin and subcutaneous tissue,NA
Rheumatoid,0,0,8.199999999999998,4.9,31.7,52.5,100.1,Arthritis,NA
Osteoarthritis,0,0,22.3,38,123.6,182.3,400.3,Arthritis,NA
Other and type unknown,0,0,38.3,54.6,97.4,158.4,282.4,Arthritis,NA
Total arthritis,0,3.8,66.3,100.7,237,373.8,733.5,Arthritis,NA
Other arthropathies,0,18.5,11.3,17.3,18.9,16.6,16.1,Arthritis,NA
Rheumatism,0,0,0,7.2,4.7,5.9,32.5,Arthritis,NA
Back problems,2.6,105.1,214.6,356.7,377,430.1,580.5,Arthritis,NA
Osteoporosis,0,0,0.9,0,5.9,27.6,100.9,Arthritis,NA
Gout,0,0,9.1,27.7,13.9,30.4,95.3,Arthritis,NA
Other diseases of the musculoskeletal system and connective tissue,19.1,24.9,30.5,59,87.8,63,64.3,Arthritis,NA
Symptoms and signs involving the musculoskeletal system and connective tissue,4.9,2.4,0,0,0,0,0,Arthritis,NA
Total diseases of the musculoskeletal system and connective tissue,30,144,324,482.2,581.3,674.6,1146.6,Arthritis,NA
Incontinence: urine,16.5,0,0,0,10.1,8,31.7,Diseases of the genitourinary system,NA
Kidney disease,3.1,0,7,4.7,4.6,8,70.4,Diseases of the genitourinary system,NA
Endometriosis,NA,NA,NA,NA,NA,NA,NA,Diseases of the genitourinary system,NA
Other diseases of the genitourinary system,6.9,0,12.5,35.2,72.4,63,91.4,Diseases of the genitourinary system,NA
Total diseases of the genitourinary system,23.3,0,31.3,35.2,72,77.59999999999998,185.1,Diseases of the genitourinary system,NA
"Congenital malformations, deformations and chromosomal abnormalities",29.3,2.5,5.8,4.8,9.1,16.1,15.6,Diseases of the genitourinary system,NA
Fluid retention,9.1,0,0,31.2,8.1,20.2,70.8,Diseases of the genitourinary system,"Symptoms, signs, injuries and conditions not elsewhere classified"
Drug,20.5,29.7,76,44,62.4,61.7,145.5,Diseases of the genitourinary system,Allergy
Food,168.5,111.9,116.4,93.2,70.6,69.8,89.2,Diseases of the genitourinary system,Allergy
Undefined,82.3,90,70.9,39.9,40.1,35.4,43.1,Diseases of the genitourinary system,Allergy
Total allergy,268,217.5,252.3,167.5,164.9,152.8,235.5,Diseases of the genitourinary system,Allergy
"Other symptoms, signs, injuries and conditions nec",27.6,27.7,63.4,24.9,68.4,50.2,68.2,Diseases of the genitourinary system,NA
"Total symptoms, signs, injuries and conditions nec",287.4,232.2,302.6,206.8,209,202.2,342.5,Diseases of the genitourinary system,NA
No current long-term health condition,1241.8,424.4,422.3,309.4,85,26,11.6,Number of current long-term health conditions,NA
1,540,351.3,496.3,418.1,248.2,170.5,106.2,Number of current long-term health conditions,NA
2,269.3,337.6,316.9,369.6,337.4,174.3,173.8,Number of current long-term health conditions,NA
Has 1 or more current long-term health conditions,1178.9,1160.6,1408.1,1440.4,1489.7,1423.7,1975.5,Number of current long-term health conditions,NA
Has 2 or more current long-term health conditions,633.2,800.3,915.3,1010.1,1245.2,1252.1,1867.2,Number of current long-term health conditions,NA
Has 3 or more current long-term health conditions,359.8,465.5,599.9,639,907.8,1082.1,1693.3,Number of current long-term health conditions,NA
"Total males, all ages",2417.8,1590.7,1832.4,1749,1585.9,1445.2,1983.6,Number of current long-term health conditions,NA
